"","Sex","Year","DoY","Index","Clone","Phenophase_Derived","Heat","Heatsum","Orchard"
"246","FEMALE",1997,159,458,1591,"3",6.8,316.4,220
"247","FEMALE",1997,161,458,1591,"3",10.3,334,220
"248","FEMALE",1997,163,458,1591,"3",12.5,358.8,220
"249","FEMALE",1997,148,461,985,"1",10.5,222.1,220
"250","FEMALE",1997,150,461,985,"2",10.3,243.2,220
"251","FEMALE",1997,153,461,985,"2",8.5,270.7,220
"252","FEMALE",1997,155,461,985,"2",7,288,220
"253","FEMALE",1997,157,461,985,"3",7.3,303.1,220
"254","FEMALE",1997,159,461,985,"3",6.8,316.4,220
"255","FEMALE",1997,161,461,985,"3",10.3,334,220
"256","FEMALE",1997,163,461,985,"3",12.5,358.8,220
"257","FEMALE",1997,148,463,980,"2",10.5,222.1,220
"258","FEMALE",1997,150,463,980,"2",10.3,243.2,220
"259","FEMALE",1997,153,463,980,"2",8.5,270.7,220
"260","FEMALE",1997,155,463,980,"2",7,288,220
"261","FEMALE",1997,157,463,980,"3",7.3,303.1,220
"262","FEMALE",1997,159,463,980,"3",6.8,316.4,220
"263","FEMALE",1997,161,463,980,"3",10.3,334,220
"264","FEMALE",1997,163,463,980,"3",12.5,358.8,220
"265","FEMALE",1997,148,464,985,"2",10.5,222.1,220
"266","FEMALE",1997,150,464,985,"2",10.3,243.2,220
"267","FEMALE",1997,153,464,985,"2",8.5,270.7,220
"268","FEMALE",1997,155,464,985,"2",7,288,220
"269","FEMALE",1997,157,464,985,"3",7.3,303.1,220
"270","FEMALE",1997,159,464,985,"3",6.8,316.4,220
"271","FEMALE",1997,161,464,985,"3",10.3,334,220
"272","FEMALE",1997,163,464,985,"3",12.5,358.8,220
"273","FEMALE",1997,148,465,988,"2",10.5,222.1,220
"274","FEMALE",1997,150,465,988,"2",10.3,243.2,220
"275","FEMALE",1997,153,465,988,"2",8.5,270.7,220
"276","FEMALE",1997,155,465,988,"2",7,288,220
"277","FEMALE",1997,157,465,988,"2",7.3,303.1,220
"278","FEMALE",1997,159,465,988,"2",6.8,316.4,220
"279","FEMALE",1997,161,465,988,"3",10.3,334,220
"280","FEMALE",1997,163,465,988,"3",12.5,358.8,220
"281","FEMALE",1997,148,466,1559,"1",10.5,222.1,220
"282","FEMALE",1997,150,466,1559,"1",10.3,243.2,220
"283","FEMALE",1997,153,466,1559,"2",8.5,270.7,220
"284","FEMALE",1997,155,466,1559,"2",7,288,220
"285","FEMALE",1997,157,466,1559,"3",7.3,303.1,220
"286","FEMALE",1997,159,466,1559,"3",6.8,316.4,220
"287","FEMALE",1997,161,466,1559,"3",10.3,334,220
"288","FEMALE",1997,163,466,1559,"3",12.5,358.8,220
"289","FEMALE",1997,148,467,1592,"1",10.5,222.1,220
"290","FEMALE",1997,150,467,1592,"2",10.3,243.2,220
"291","FEMALE",1997,153,467,1592,"2",8.5,270.7,220
"292","FEMALE",1997,155,467,1592,"2",7,288,220
"293","FEMALE",1997,157,467,1592,"3",7.3,303.1,220
"294","FEMALE",1997,159,467,1592,"3",6.8,316.4,220
"295","FEMALE",1997,161,467,1592,"3",10.3,334,220
"296","FEMALE",1997,163,467,1592,"3",12.5,358.8,220
"297","FEMALE",1997,146,3002,1588,"2",9.5,202.3,228
"298","FEMALE",1997,148,3002,1588,"2",10.5,222.1,228
"299","FEMALE",1997,150,3002,1588,"2",10.3,243.2,228
"300","FEMALE",1997,153,3002,1588,"2",8.5,270.7,228
"301","FEMALE",1997,155,3002,1588,"3",7,288,228
"302","FEMALE",1997,157,3002,1588,"3",7.3,303.1,228
"303","FEMALE",1997,159,3002,1588,"3",6.8,316.4,228
"304","FEMALE",1997,161,3002,1588,"3",10.3,334,228
"305","FEMALE",1997,163,3002,1588,"3",12.5,358.8,228
"306","FEMALE",1997,146,3004,1596,"1",9.5,202.3,228
"307","FEMALE",1997,148,3004,1596,"1",10.5,222.1,228
"308","FEMALE",1997,150,3004,1596,"2",10.3,243.2,228
"309","FEMALE",1997,153,3004,1596,"2",8.5,270.7,228
"310","FEMALE",1997,155,3004,1596,"2",7,288,228
"311","FEMALE",1997,157,3004,1596,"2",7.3,303.1,228
"312","FEMALE",1997,159,3004,1596,"3",6.8,316.4,228
"313","FEMALE",1997,161,3004,1596,"3",10.3,334,228
"314","FEMALE",1997,163,3004,1596,"3",12.5,358.8,228
"315","FEMALE",1997,146,3006,1538,"1",9.5,202.3,228
"316","FEMALE",1997,148,3006,1538,"1",10.5,222.1,228
"317","FEMALE",1997,150,3006,1538,"1",10.3,243.2,228
"318","FEMALE",1997,153,3006,1538,"1",8.5,270.7,228
"319","FEMALE",1997,155,3006,1538,"2",7,288,228
"320","FEMALE",1997,157,3006,1538,"2",7.3,303.1,228
"321","FEMALE",1997,159,3006,1538,"2",6.8,316.4,228
"322","FEMALE",1997,161,3006,1538,"3",10.3,334,228
"323","FEMALE",1997,163,3006,1538,"3",12.5,358.8,228
"324","FEMALE",1997,146,3008,1599,"1",9.5,202.3,228
"325","FEMALE",1997,148,3008,1599,"1",10.5,222.1,228
"326","FEMALE",1997,150,3008,1599,"2",10.3,243.2,228
"327","FEMALE",1997,153,3008,1599,"2",8.5,270.7,228
"328","FEMALE",1997,155,3008,1599,"2",7,288,228
"329","FEMALE",1997,157,3008,1599,"2",7.3,303.1,228
"330","FEMALE",1997,159,3008,1599,"2",6.8,316.4,228
"331","FEMALE",1997,161,3008,1599,"3",10.3,334,228
"332","FEMALE",1997,163,3008,1599,"3",12.5,358.8,228
"333","FEMALE",1997,146,3010,1463,"1",9.5,202.3,228
"334","FEMALE",1997,148,3010,1463,"1",10.5,222.1,228
